Category,SubCategory,2017,2018,2019,
Less than high school graduate:,Speak only English,1135,1795,671,
Less than high school graduate:,Speak Spanish,972,1038,780,
Less than high school graduate:,Speak all other languages,1033,1207,944,
High school graduate (includes equivalency):,Speak only English,3955,3124,"2,466",
High school graduate (includes equivalency):,Speak Spanish,361,833,323,
High school graduate (includes equivalency):,Speak all other languages,1138,720,"1,227",
Some college or associate's degree:,Speak only English,4153,6392,"4,773",
Some college or associate's degree:,Speak Spanish,164,321,257,
Some college or associate's degree:,Speak all other languages,1119,823,881,
Bachelor's degree or higher:,Speak only English,1765,1914,"2,344",
Bachelor's degree or higher:,Speak Spanish,0,117,28,
Bachelor's degree or higher:,Speak all other languages,483,852,620,
