Category,SubCategory,2017,2018,2019,
Less than high school graduate:,Speak only English,1438,407,"1,311",
Less than high school graduate:,Speak Spanish,1610,1414,"1,733",
Less than high school graduate:,Speak all other languages,194,359,207,
High school graduate (includes equivalency):,Speak only English,5940,4471,"4,443",
High school graduate (includes equivalency):,Speak Spanish,1832,573,714,
High school graduate (includes equivalency):,Speak all other languages,1602,1483,"1,495",
Some college or associate's degree:,Speak only English,9655,10091,"8,876",
Some college or associate's degree:,Speak Spanish,1245,1335,847,
Some college or associate's degree:,Speak all other languages,2201,1565,"1,817",
Bachelor's degree or higher:,Speak only English,6332,7350,"6,729",
Bachelor's degree or higher:,Speak Spanish,661,774,"1,033",
Bachelor's degree or higher:,Speak all other languages,1880,3108,"3,083",
