Category,Subcategory,,% in 2017,% in 2018,% in 2019
OCCUPATION,Civilian employed population 16 years and over,"Management, business, science, and arts occupations",32.6,41.7,36.6
OCCUPATION,Civilian employed population 16 years and over,Service occupations,22.5,15.8,18.7
OCCUPATION,Civilian employed population 16 years and over,Sales and office occupations,25.5,24.7,23.5
OCCUPATION,Civilian employed population 16 years and over,"Natural resources, construction, and maintenance occupations",8.9,6.2,9
OCCUPATION,Civilian employed population 16 years and over,"Production, transportation, and material moving occupations",10.5,11.7,12.2
INDUSTRY,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",0.6,0.1,0.3
INDUSTRY,Civilian employed population 16 years and over,Construction,7.7,6.2,8.1
INDUSTRY,Civilian employed population 16 years and over,Manufacturing,6.1,6.3,7.3
INDUSTRY,Civilian employed population 16 years and over,Wholesale trade,1.3,2,1
INDUSTRY,Civilian employed population 16 years and over,Retail trade,13,10.1,12
INDUSTRY,Civilian employed population 16 years and over,"Transportation and warehousing, and utilities",7.8,5,5.8
INDUSTRY,Civilian employed population 16 years and over,Information,0.8,1.8,1.5
INDUSTRY,Civilian employed population 16 years and over,"Finance and insurance, and real estate and rental and leasing",9.5,8.6,6.6
INDUSTRY,Civilian employed population 16 years and over,"Professional, scientific, and management, and administrative and waste management services",12.8,11.7,12.3
INDUSTRY,Civilian employed population 16 years and over,"Educational services, and health care and social assistance",17,19.5,22.5
INDUSTRY,Civilian employed population 16 years and over,"Arts, entertainment, and recreation, and accommodation and food services",10.8,8.5,9.9
INDUSTRY,Civilian employed population 16 years and over,"Other services, except public administration",4.3,5.7,5.3
INDUSTRY,Civilian employed population 16 years and over,Public administration,8.3,14.4,7.5
