Date,Company,Title
2021-11-04,Centene Corporation,Disease Management Enrollment Representative
2021-11-04,Dignity Health,Patient Advocate
2021-11-04,Dignity Health,A/R Payment Rep II
2021-11-04,Dignity Health,Clerical Supervisor I
2021-11-04,Dignity Health,Accountant
2021-11-04,Dignity Health,Recruiting Coordinator Temporary
2021-10-27,Dignity Health,Patient Logistics Coordinator
2021-11-04,Dignity Health,Senior Patient Account Assistant-Intake Coordinator
2021-11-04,Dignity Health,Senior Patient Account Assistant-Intake Coordinator
2021-11-04,Dignity Health,Senior Patient Account Assistant-Intake Coordinator
2021-11-04,Dignity Health,A/R Billing Representative II
2021-10-27,Dignity Health,Patient Logistics Coordinator
2021-10-20,Centene Corporation,Disease Management Assistant (HNGS)
2021-10-28,Centene Corporation,Case Care Management Assistant - Remote Available
2021-11-04,Dignity Health,Financial Analyst
2021-11-01,Centene Corporation,"Customer Service Representative I - - Remote in CA, Bonus Eligible"
2021-11-03,Centene Corporation,"Manager, Claims"
2021-11-04,California Northstate University,Admissions Outreach and Communications Specialist
2021-10-26,FedEx Services,Field Sales Professional (AE/SE)
2021-10-26,Magellan Health,"Manager, Customer Care"
2021-11-04,Dignity Health,Coder I
2021-10-20,Magellan Health,Mail Services Coordinator
2021-10-15,Dignity Health,Patient Logistics Coordinator
2021-10-21,Dignity Health,Complex Placement Coordinator
2021-11-04,CommonSpirit Health,Patient Advocate
2021-10-29,Republic Services,Work From Home - Customer Service Specialist - Franchise Markets
2021-11-02,"Creative Recreational Systems, Inc",Executive Administrative Assistant
2021-10-31,City of Rancho Cordova,Administrative Assistant I
2021-11-04,Dignity Health,Lab Courier / Driver
2021-10-21,Dignity Health,A/R Billing Representative II
2021-11-02,"Anthem, Inc.",Claims Examiner II - Posting Expires on 11/05/21 @ 11:59pm
2021-11-02,"Anthem, Inc.",Claims Examiner II - Posting Expires on 11/05/21 @ 11:59pm
2021-11-02,"Anthem, Inc.",Customer Care Representative Lead **Posting Expires on 11/5/21 at 111:59pm**
2021-10-25,Centene Corporation,"Supervisor, Customer Service"
2021-11-03,City of Rancho Cordova,Engineering Technician
2021-11-01,Insurance Relief,Underwriting Assistant - REMOTE
2021-11-04,Dignity Health,Senior Accountant
2021-11-01,FedEx Services,Field Sales Professional (AE/SE)
2021-11-01,Thermo Fisher Scientific,Clinical Sales Consultant
2021-11-01,Centene Corporation,"Manager, Information Technology (Contact Centers)"
2021-10-16,Dignity Health,Insurance Services Representative II
2021-11-03,Centene Corporation,"Director, Claims Operations"
2021-10-18,Magellan Health,Customer Care Supervisor
2021-10-08,American Pacific Corporation,Analytical Scientist
2021-11-01,HealthCare Support,Remote Case Management Assistant
2021-10-26,Fastenal Company,Supply Chain Associate
2021-10-14,Dignity Health,"Director of Patient, Provider and Employee Experience"
2021-11-01,Greywind Marketing Inc,Entry Level Associate Recruiter / HR Assistant
2021-11-03,Centene Corporation,Executive Assistant
2021-11-01,The WorkPlace Group,Associate Development Program Analyst
2021-10-10,"Anthem, Inc.","Customer Service Representative - Rancho Cordova, CA"
2021-10-06,Travelers,Outside Property Claim Representative Trainee (Sacramento)
2021-10-22,"Anthem, Inc.","Customer Service Representative - Rancho Cordova, CA"
2021-10-29,Splendid Spoon,FT Customer Experience Associate (Work From Home)
2021-10-29,"TRC Companies, Inc.",Civil/Structural Engineering Intern
2021-10-26,Magellan Health,Quality Specialist I
2021-11-01,Travelers,BI UPDP
2021-11-03,Fortuna BMC,Data Entry Supervisor
2021-11-02,"Anthem, Inc.",Customer Care Representative Senior - **Posting Expires on 11/5/21 at 11:59pm**
2021-10-14,Sacramento Marriott Rancho Cordova,Front Office Manager
2021-10-26,HealthCare Support,Claims Analyst
2021-11-02,UnitedHealthcare,"New Business Coordinator - Rancho Cordova, CA"
2021-11-04,Dignity Health,Fixed Asset Accountant
2021-10-18,Sacramento Marriott Rancho Cordova,Front Desk Agent - FT & PT
2021-10-26,Magellan Health,Senior Mailroom Coordinator
2021-10-26,Magellan Health,Senior Mailroom Coordinator
2021-10-26,Magellan Health,Senior Mailroom Coordinator
2021-10-26,Magellan Health,Senior Mailroom Coordinator
2021-10-26,Magellan Health,Pharmacy Network Administrator
2021-10-26,Magellan Health,Pharmacy Network Administrator
2021-10-22,"Anthem, Inc.","Customer Service Representative - Rancho Cordova, CA"
2021-10-26,Magellan Health,Pharmacy Network Administrator
2021-10-26,Magellan Health,Pharmacy Network Administrator
2021-10-26,Magellan Health,"Manager, Provider Relations"
2021-10-14,Dignity Health,Coder I
2021-11-04,CommonSpirit Health,Clerical Supervisor I
2021-11-04,KULE,PT Customer Service Associate (Work From Home)
2021-10-29,UnitedHealthcare,"New Business Coordinator - Rancho Cordova, CA"
2021-10-06,Professional Diversity Network,COMMUNICATIONS SUPERVISOR (LT)
2021-10-13,Sedgwick,Claims Associate - Workers Compensation
2021-10-19,"CENTRAL STRIPING SERVICE, INC.",Construction Project Manager
2021-10-06,Sac Platinum Realty,Real Estate Transaction Coordinator
2021-10-25,Schnitzer Steel,Contact Center Manager
2021-10-22,"Anthem, Inc.","Customer Service Representative - Rancho Cordova, CA"
2021-10-27,Fortuna BMC,Data Entry Clerk
2021-10-21,Magellan Health,HR Business Partner
2021-10-22,Centene Corporation,Information Risk Analyst II
2021-10-29,American Pacific Corporation,Documentation Control Specialist
2021-10-22,Wisetack,FT Customer Experience Associate (Work From Home)
2021-11-04,Dignity Health,Accounting Manager
2021-10-26,Centene Corporation,Business Systems Analyst
2021-11-03,"Ursus, Inc.",Communications Specialist
2021-10-19,Nesco Resource,Remote Administrative Assistant
2021-10-14,CommonSpirit Health,"Director of Patient, Provider and Employee Experience"
2021-10-08,Centene Corporation,Coordination of Benefits
2021-10-12,Travelers,Auto Claim Representative Trainee
2021-10-27,Dignity Health,Behavioral Health Program Manager
2021-11-04,Centene Corporation,"Manager, Training"
2021-10-14,Dignity Health,Program Manager II
2021-10-09,Black & Veatch,Mechanical Engineer Intern - Water - Sacramento
2021-10-14,Centene Corporation,"Manager, Information Technology"
2021-10-08,Schnitzer Steel,Workforce Management Analyst
2021-11-01,Centene Corporation,Business Analyst II (Claims)
2021-10-22,Dewberry,Helpdesk/PC Technician II
2021-10-19,Dignity Health,Credential Coordinator
2021-10-28,Centene Corporation,Intake Representative I
2021-10-26,Delta Dental Ins.,Union - Appeals Representative
2021-10-25,Centene Corporation,Intake Representative I
2021-10-07,Magellan Health,Senior Mailroom Coordinator
2021-10-21,Centene Corporation,Intake Representative I
2021-11-05,CommonSpirit Health,Financial Analyst
2021-10-12,Centene Corporation,Intake Representative I
2021-11-04,Centene Corporation,Customer Service Representative I
2021-10-26,Magellan Health,"Billing Specialist, Medi-Cal"
2021-10-07,Robert Half,Business Analyst Associate
2021-10-25,Sedgwick,Claims Associate (Medical Only) Workers Compensation
2021-11-04,Pacific Office Automation,Customer Care Representative
2021-11-04,Nesco Resource,Data Entry Representative
2021-11-03,Blue Shield of California,Program Coordinator - Wellness
2021-11-05,Compunnel,Clerical
2021-10-06,Centene Corporation,"Supervisor, Operations"
2021-10-20,Magellan Health,Mailroom Coordinator
2021-11-03,"Ursus, Inc.",Communications Specialist
2021-10-30,"ARC Management Group, LLC",Marketing Communications Assistant
2021-10-21,Commercial Sign Crafters,Administrative
2021-10-06,Tetra Tech,Emergency Coordinator - SAC
2021-11-04,CommonSpirit Health,A/R Payment Rep II
2021-11-05,CommonSpirit Health,Accountant
2021-10-08,Dignity Health,Coder II
2021-10-08,Dignity Health,Coder II
2021-10-18,C&S Wholesale Grocers,Merchandising Analyst
2021-10-29,"U.S. Lawns - Sacramento East and Elk Grove, CA",Business Developer
2021-10-19,Banner Bank,"Senior Credit Analyst (remote - CA, OR, WA, ID)"
2021-11-04,Dignity Health,Physician Services Contract Specialist
2021-11-01,Schnitzer Steel,Site Development Director
2021-10-20,Dignity Health,Revenue Cycle Performance Manager
2021-10-20,SearchPros,Credentialing Analyst
2021-10-12,"Dialysis Clinic, Inc.",Unit Secretary
2021-11-02,American Pacific Corporation,Senior Accounts Payable Specialist
2021-10-26,"Creative Recreational Systems, Inc",Accounting Assistant
2021-10-07,Tetra Tech,Environmental Planner
2021-10-12,Banfield Pet Hospital,Veterinary Assistant - 000049
2021-11-01,Nicholas Pension Consultants,Administrative Associate
2021-10-19,Brown and Caldwell,Administrative Assistant
2021-10-13,Murraysmith,IT Coordinator
2021-10-27,CommonSpirit Health,Patient Logistics Coordinator
2021-10-09,Centene Corporation,"Director, Claims Operations"
2021-10-15,Federated Insurance,"Claims Adjuster - Entry Level - Rancho Cordova, CA"
2021-10-27,Centene Corporation,Project Manager III
2021-10-27,CommonSpirit Health,Patient Logistics Coordinator
2021-10-28,Sacramento Marriott Rancho Cordova,Starbucks Barista - PT
2021-10-20,Kids Care Dental & Orthodontics,Recruiting Coordinator
2021-10-30,Cervoid,Online Survey Taker - Work From Home
2021-11-04,CommonSpirit Health,Coder I
2021-10-10,Centene Corporation,Product Marketing & Communications Specialist II
2021-10-20,Robert Half,Operational Support Administrator
2021-10-16,Sacramento Marriott Rancho Cordova,Front Desk Agent - FT & PT
2021-10-10,Dignity Health,Coder II
2021-10-22,Travelers,Auto Liability Technical Specialist
2021-11-03,Walmart,Stocking & Unloading
2021-10-13,Sedgwick,Claims Adjuster - Workers Compensation
2021-10-28,Human Bees,Entry-Level Talent Sourcer (Launch Your Career!)
2021-11-01,Schnitzer Steel,Vehicle Purchasing Agent
2021-10-21,Magellan Health,Customer Care Supervisor
2021-10-14,gpac,Quality Engineer
2021-10-31,gpac,Quality Engineer
2021-11-05,Murraysmith,Senior Human Resources Generalist
2021-11-05,Cognizant,Technical Project Manager
2021-11-01,Greywind Marketing Inc,Entry Level Marketing Associate
2021-10-16,CTA Engineering & Surveying,Assistant Civil Engineer
2021-10-12,Centene Corporation,Project Manager III
2021-10-31,Teledyne Technologies Incorporated,Buyer
2021-10-11,Centene Corporation,Project Manager III
2021-10-25,HealthCare Support,Case Management Coordinator
2021-10-08,Teledyne Technologies Incorporated,"Assembler, Electronics/ Electro-Mech. 2"
2021-11-01,Sedgwick,Claims Representative IAP - Entry Level
2021-10-09,"Ursus, Inc.",Digital Marketing Associate
2021-10-20,American Pacific Corporation,"Production Engineer, Technical Operations / Process Engineer"
2021-10-27,Centene Corporation,Data Analyst III (Healthcare Analytics) - California
2021-11-04,CommonSpirit Health,Recruiting Coordinator Temporary
2021-10-19,Travelers,"Risk Control Consultant, Construction"
2021-10-26,gpac,Quality Engineer
2021-11-02,"ARC Management Group, LLC",Entry Level Manager / Management Trainee
2021-10-21,CommonSpirit Health,Complex Placement Coordinator
2021-11-04,CommonSpirit Health,A/R Billing Representative II
2021-10-07,Target,"Executive Team Leader General Merchandise & Food Sales (Assistant Manager)- Rancho Cordova, CA"
2021-10-11,"Apex Envirotech, Inc.",Environmental Project Manager
2021-11-01,Schnitzer Steel,Project & Construction Manager
2021-10-31,gpac,Auto Manufacturing Engineer
2021-10-10,NEC Corporation of America,Business Systems Analyst
2021-10-21,"Ursus, Inc.",Business Process Analyst
2021-11-01,Zurich North America,General Liability Claims Specialist I
2021-10-27,"ThermoGenesis Holdings, Inc.",Supply Chain Manager
2021-10-26,Delta Dental Ins.,Customer Service Representative I
2021-10-06,Ultimate Staffing,Contract Administrator
2021-10-18,"Ursus, Inc.",Marketing & Brand Management Specialist
2021-11-03,American Pacific Corporation,Sr Accountant
2021-10-23,Folsom Lake Honda,Clerical Department
2021-10-15,CommonSpirit Health,Patient Logistics Coordinator
2021-11-02,"Anthem, Inc.",Customer Care Representative Senior - **Posting Expires on 11/5/21 at 11:59pm**
