Area Type,Area Name,Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Quarter Employment Estimate,Projected Quarter Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
State,California,2020-2022,1,00-0000,"Total, All Occupations",16710800,18589800,1879000,11.2,1512350,2480210,5871560,21.78,45310.00,N/A,N/A,N/A
State,California,2020-2022,2,11-0000,Management Occupations,1203000,1324900,121900,10.1,66340,144200,332440,59.75,124283.00,N/A,N/A,N/A
State,California,2020-2022,3,11-1000,Top Executives,274900,301500,26600,9.7,12560,36180,75340,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,11-1011,Chief Executives,38600,40500,1900,4.9,2110,3510,7520,0.00,0.00,Bachelor's degree,≥5 years,None
State,California,2020-2022,4,11-1021,General and Operations Managers,233300,258000,24700,10.6,10300,32360,67360,55.44,115303.00,Bachelor's degree,≥5 years,None
State,California,2020-2022,4,11-1031,Legislators,3000,3000,0,0.0,150,310,460,0.00,55468.00,Bachelor's degree,<5 years,None
State,California,2020-2022,3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",122900,137200,14300,11.6,5320,17740,37360,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,11-2011,Advertising and Promotions Managers,2800,3100,300,10.7,120,440,860,65.67,136602.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,11-2021,Marketing Managers,39100,43000,3900,10.0,1670,5620,11190,77.48,161160.00,Bachelor's degree,≥5 years,None
State,California,2020-2022,4,11-2022,Sales Managers,72600,82100,9500,13.1,3150,10580,23230,59.35,123448.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,11-2031,Public Relations and Fundraising Managers,8400,9000,600,7.1,380,1110,2090,0.00,0.00,Bachelor's degree,≥5 years,None
State,California,2020-2022,3,11-3000,Operations Specialties Managers,257200,280600,23400,9.1,11570,30940,65910,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,11-3011,Administrative Services Managers,37000,39700,2700,7.3,2110,4280,9090,0.00,0.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,11-3021,Computer and Information Systems Managers,67900,74500,6600,9.7,2440,8670,17710,84.77,176320.00,Bachelor's degree,≥5 years,None
State,California,2020-2022,4,11-3031,Financial Managers,81800,90200,8400,10.3,3720,9540,21660,68.36,142172.00,Bachelor's degree,≥5 years,None
State,California,2020-2022,4,11-3051,Industrial Production Managers,18800,19800,1000,5.3,830,1980,3810,54.99,114377.00,Bachelor's degree,≥5 years,None
State,California,2020-2022,4,11-3061,Purchasing Managers,7600,8100,500,6.6,380,930,1810,65.95,137193.00,Bachelor's degree,≥5 years,None
State,California,2020-2022,4,11-3071,"Transportation, Storage, and Distribution Managers",18700,20500,1800,9.6,850,2240,4890,47.15,98076.00,High school diploma or equivalent,≥5 years,None
State,California,2020-2022,4,11-3121,Human Resources Managers,19100,20800,1700,8.9,910,2470,5080,66.13,137539.00,Bachelor's degree,≥5 years,None
State,California,2020-2022,4,11-3131,Training and Development Managers,4300,4600,300,7.0,220,580,1100,64.02,133171.00,Bachelor's degree,≥5 years,None
State,California,2020-2022,3,11-9000,Other Management Occupations,548000,605600,57600,10.5,36900,59350,153850,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",81600,93000,11400,14.0,10850,6490,28740,41.65,86622.00,High school diploma or equivalent,≥5 years,None
State,California,2020-2022,4,11-9021,Construction Managers,52900,58700,5800,11.0,2340,5680,13820,54.78,113918.00,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,11-9031,"Education Administrators, Preschool and Childcare Center/Program",6700,7400,700,10.4,360,730,1790,25.23,52485.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,11-9032,"Education Administrators, Elementary and Secondary School",22800,23600,800,3.5,1200,2400,4400,0.00,129761.00,Master's degree,≥5 years,None
State,California,2020-2022,4,11-9033,"Education Administrators, Postsecondary",16100,16600,500,3.1,840,1690,3030,59.54,123835.00,Master's degree,<5 years,None
State,California,2020-2022,4,11-9039,"Education Administrators, All Other",7900,8300,400,5.1,420,840,1660,48.22,100296.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,11-9041,Architectural and Engineering Managers,31800,33600,1800,5.7,1140,3580,6520,82.78,172196.00,Bachelor's degree,≥5 years,None
State,California,2020-2022,4,11-9051,Food Service Managers,40000,52200,12200,30.5,2810,7760,22770,27.22,56628.00,High school diploma or equivalent,<5 years,None
State,California,2020-2022,4,11-9061,Funeral Service Managers,1300,1400,100,7.7,70,140,310,0.00,0.00,Associate's degree,<5 years,None
State,California,2020-2022,4,11-9081,Lodging Managers,3400,4700,1300,38.2,260,580,2140,31.35,65211.00,High school diploma or equivalent,<5 years,None
