,Date,Company,Title,Job Description,Criteria,Seniority,Employment Type,Job Function,Industry,Experience
0,2021-11-04,Dignity Health,Patient Advocate,"*Overview*

Dignity Health Medical Foundation, established in 1993, is a California nonprofit public benefit corporation with care centers throughout California. Dignity Health Medical Foundation is an affiliate of Dignity Health - one of the largest health systems in the nation - with hospitals and care centers in California, Arizona and Nevada. Today, Dignity Health Medical Foundation works hand-in-hand with physicians and providers throughout California to provide comprehensive health care services to the many communities we serve. As Dignity Health Medical Foundation continues to grow and establish new premier care centers, we provide increasing support and investment in the latest technologies, finest physicians and state-of-the-art medical facilities. We strive to create purposeful work settings where staff can provide great care, while advancing in knowledge and experience through challenging work assignments and stimulating relationships. Our staff is well-trained and highly skilled, qualities that are vital to maintaining excellence in care and service.

*Responsibilities*

Position Summary

In collaboration with leadership, management and Mercy Medical Group providers, this position acts as a facilitating agent for the key initiatives of increased enrollment, customer service and patient satisfaction. This position will help to facilitate new patients building a relationship with their provider of choice and work with others to help organize team efforts directly related to patient care and satisfaction. The position is responsible for providing patients with education regarding the managed care environment and providing direct support to staff and providers as they interact with patients to ensure provision of the highest customer service. The main objective of this position is to help maximize enrollment (new patients and retention of current patients) through improved customer service and patient satisfaction.

Responsibilities May Include

Provide avenue for patients to obtain assistance in navigating any Clinic processes that might be seen as barriers. This includes Clinic authorization processes, health plan authorizations, billing questions, patient advocacy, etc.
Coordinate the Group's patient complaint and resolution process, including database maintenance, tracking and trending and identifying any areas requiring customer service enhancements.
Facilitate tasks and processes required for new patients to be linked to the medical group.
As appropriate, assist new members with introduction to and explanation of available Mercy Medical Group services, processes and availability of providers.
Develop and maintain Patient Advocacy Database, including preparation of trending reports for management and Leadership.
Assist with roll-out of CQI and Pay for Performance Initiatives.

*Qualifications*

Minimum Qualifications

Three (3) years of experience in a professional medical office setting, health plan and patient advocacy/conflict resolution capacity required
Requires:
Demonstrated skill in and understanding of medical office operations, systems, and processes (front office, back office, and health plan requirements)
Direct experience in and understanding of customer service role
Experience working with physicians, managers and staff to accomplish goals and objectives through influence and persuasion, as opposed to direct lines of authority
Ability to work with and effectively communicate (both verbally and written) with a diverse work force in all levels of the organization
Strong conflict resolution, facilitation and follow-through skills
Proficient in the use of Microsoft Office programs: Word, Excel, and PowerPoint
Must be able to adapt easily to change, and lead others through the change process
Must be able to work in a team environment that may change or fluctuate dependent on the activity or time frame
The position may, on occasion, require travel to multiple facilities
Ability to promote and role model excellent customer service

Preferred Qualifications

Associate degree (or equivalent experience) preferred
Understanding of medical and insurance terminology preferred
Strong understanding of healthcare marketing preferred
Proficiency in the use of Microsoft Access preferred","Seniority level
Associate
Employment type
Full-time
Job function
Health Care Provider
Industries
Nonprofit Organization Management, Health, Wellness and Fitness, and Hospital & Health Care",Associate,Full-time,Health Care Provider,"Nonprofit Organization Management, Health, Wellness and Fitness, and Hospital & Health Care",3
1,2021-11-04,Centene Corporation,Disease Management Enrollment Representative,"Position Purpose

The Disease Management Enrollment Representative contacts beneficiaries, stratifies, and refers them for enrollment into appropriate disease management programs. Duties include corresponding with beneficiaries and assessing their needs via telephone for placement into appropriate disease management programs. Additional responsibilities include managing incoming/outgoing phone calls, scheduling appointments and tracking data.

Contacts beneficiaries who have a diagnosed disease condition that has been determined to be uncontrolled; for example, patients who have been admitted to the hospital or have had multiple emergency room visits.
Works from unscripted talking points to obtain pertinent information regarding the beneficiary’s condition and assesses their readiness to make changes that will improve and control their disease. Guides the conversation to identify and work to overcome objections.
Refers enrollees to the correct educator for enrollment into appropriate Disease Management Programs based on condition, and schedules appointments with Disease Management Specialists.
Stratifies beneficiaries into a variety of programs so that they can be placed appropriate levels.
Manages incoming/outgoing phone calls.
Develops and maintains a clear understanding of the disease management programs and their intent.
Learns and applies Disease Management Education Protocol.
Provides other support to the Disease Management team as necessary.

Education/Experience

Associate’s Degree or coursework focusing on General Education, Business, Health Education or other related field preferred. Minimum three years customer service or sales related telephone experience desired; managed care or clinical experience preferred.

This position will be supporting a Federal government contract, therefore it requires U. S. citizenship and proof of favorable adjudication following submission of Department of Defense form SF86 or higher security.

Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.","Seniority level
Not Applicable
Employment type
Full-time
Job function
Customer Service and Information Technology
Industries
Hospital & Health Care and Insurance",Not Applicable,Full-time,Customer Service and Information Technology,Hospital & Health Care and Insurance,3
2,2021-10-27,Dignity Health,Patient Logistics Coordinator,"*Overview*

Dignity Health, one of the nation’s largest health care systems, is a 22-state network of more than 9,000 physicians, 63,000 employees, and 400 care centers, including hospitals, urgent and occupational care, imaging and surgery centers, home health, and primary care clinics. Headquartered in San Francisco, Dignity Health is dedicated to providing compassionate, high-quality, and affordable patient-centered care with special attention to the poor and underserved. In FY17, Dignity Health provided $2.6 billion in charity care, community benefit, and unpaid cost of government programs. For more information, please visit our website at [www.dignityhealth.org](http://www.dignityhealth.org). You can also follow us on [Twitter](https://twitter.com/dignityhealth) and [Facebook](https://www.facebook.com/dignityhealth).

*Responsibilities*

Position Summary*:

Nights/Weekends - not a remote position

The Patient Logistics Coordinator performs on activities delegated by the Transfer Center RN and Patient Logistics Manager to facilitate the appropriate placement of patients within Dignity Health GSSA and specialized facilities. The incumbent uses effective interpersonal skills in all interactions involved with the position including the explanation of care needed as directed by the Transfer Center RN, sending physician, or receiving physician. This position assists with the process of efficiently and effectively coordinating movement of patients throughout the designated Dignity Health facilities and in specialize care facilities; specifically inpatient psychiatric. The Patient Logistics Coordinator assists in implementing the transfer of care plan through effective communication with care providers and administration. Reports to the Patient Logistics Manager.

Core Duties

Works independently to facilitate the placement of patients as directed by the Patient Logistics Manager, Patient Logistics RN, and physician orders
Facilitates the transfer of patients to the appropriate facility and unit
Identifies potential problems and brings them to the attention of the Supervisor, ANS, and/or Leadership to prevent and/or resolve barriers to timely placement and/or transfer of patients throughout the acute care setting
Communicates with referring and receiving facility staffs to ensure timely placement of patients to the appropriate level of care and unit
Documents activities clearly and accurately to promote effective communication with members of the care team, including Transfer Center, Hospital EDs, Hospital Units, Leadership, and receiving facilities.
Uses effective communication skills with colleagues, customers, physicians, and care team members, both internal and external to facilitate the timely placement of patients
Willingly provides and accepts direct, constructive feedback to and from colleagues
Verbalizes knowledge and support of Dignity Health and department Mission and Vision statements.
Exhibits a customer oriented philosophy that emphasizes both internal and external relationships focusing on customer, vendor, and patient expectations and strives to exceed them
Actively participates in, and encourages others to utilize creative and innovative approaches to accomplish duties
Performs duties in a self-directed manner with minimal supervision or direction

#mission critical

*Qualifications*

Minimum Qualifications

MA, LVN, Transfer or Call Center or equivalent experience in a health care setting 2 years
Proven proficiency with all Microsoft Office applications
Excellent verbal and electronic communication stills, including professional telephone and email etiquette
Experience in health care setting with at least 1 year in an acute hospital setting; preferably in bed placement capacity
Must have the ability to coordinate effectively with a variety of customers including providers, hospital and office staff, health plans, medical groups, internal departments, community resources, and peers.
Knowledge of levels of care and basic medical terminology
Ability to work independently and apply critical thinking skills toward making appropriate decisions, as well as in a team environment
Ability to multi-task and prioritize
Detail oriented
Excellent organizational and communication skills and ability to meet timeframes
Ability to learn quickly and retain complex information
Flexible and adaptable to change

Preferred Qualifications

2+ years working in a healthcare setting
Familiarity with Cerner and TeleTracking
","Seniority level
Entry level
Employment type
Full-time
Job function
Management and Manufacturing
Industries
Nonprofit Organization Management, Health, Wellness and Fitness, and Hospital & Health Care",Entry level,Full-time,Management and Manufacturing,"Nonprofit Organization Management, Health, Wellness and Fitness, and Hospital & Health Care",2
3,2021-10-20,Centene Corporation,Disease Management Assistant (HNGS),"Position Purpose

The Disease Management Assistant provides a variety of administrative functions and customer service for the Disease Management functions. The Assistant processes referrals, returned mail, satisfaction surveys, voice/e-mails, Fastrieve of documents, service requests and ensures all data is correctly entered in the various systems. The Assistant manages the literature inventory including tracking levels of materials required for the department and ordering new materials. The Assistant calls beneficiaries to schedule appointments, remind beneficiaries of appointments, and receives inbound calls from beneficiaries. The Assistant contacts providers to gather information, and responds to beneficiary/provider questions and requests. The Assistant collects, compiles and analyzes data and information and distributes reports as directed. The Assistant also provides department administrative support, such as scheduling meetings, distributing/preparing correspondence, faxing documents, transcribing notes and preparing reports.

Receives, organizes and distributes all disease management lists.
Provides coverage determination and/or eligibility status.
Handles phone call- backs for the Disease Managers, schedules beneficiary appointments, tracks closing of beneficiaries.
Assists in maintaining the integrity of the data systems by entering information into department’s data systems.
Assists in the data analysis in month end and manages the inventory according to this data.
Contacts provider offices to gather data as needed for reports, problem resolution or to explain benefits.
Prepares regular and ad hoc reports and distributes as needed.
Acts as liaison between DM/CM/UM as well as between DM/CM and third party vendors when needed.
Provides administrative support to department management and staff, such as distributing mail, correspondence, ordering office supplies, scheduling meetings and faxing documents.
Supports department document control function by receiving and distributing cases from other sources, maintaining order in the Disease Management supply room, and working cooperatively with other departments.
Other duties and projects as assigned.

Education/Experience

High School Diploma required; College Degree preferred. Three years experience in a medical environment; previous TRICARE, managed care or case/care/utilization management experience desirable

Government Security/Clearance/Citizenship Requirements Requires US Citizenship and current security clearance

This position will be supporting a Federal government contract, therefore it requires U. S. citizenship and proof of favorable adjudication following submission of Department of Defense form SF86 or higher security.

Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.","Seniority level
Not Applicable
Employment type
Contract
Job function
Administrative
Industries
Hospital & Health Care and Insurance",Not Applicable,Contract,Administrative,Hospital & Health Care and Insurance,3
4,2021-10-27,Dignity Health,Patient Logistics Coordinator,"*Overview*

Dignity Health, one of the nation’s largest health care systems, is a 22-state network of more than 9,000 physicians, 63,000 employees, and 400 care centers, including hospitals, urgent and occupational care, imaging and surgery centers, home health, and primary care clinics. Headquartered in San Francisco, Dignity Health is dedicated to providing compassionate, high-quality, and affordable patient-centered care with special attention to the poor and underserved. In FY17, Dignity Health provided $2.6 billion in charity care, community benefit, and unpaid cost of government programs. For more information, please visit our website at [www.dignityhealth.org](http://www.dignityhealth.org). You can also follow us on [Twitter](https://twitter.com/dignityhealth) and [Facebook](https://www.facebook.com/dignityhealth).

*Responsibilities*

Position Summary*:

Nights/Weekends - not a remote position

The Patient Logistics Coordinator performs on activities delegated by the Transfer Center RN and Patient Logistics Manager to facilitate the appropriate placement of patients within Dignity Health GSSA and specialized facilities. The incumbent uses effective interpersonal skills in all interactions involved with the position including the explanation of care needed as directed by the Transfer Center RN, sending physician, or receiving physician. This position assists with the process of efficiently and effectively coordinating movement of patients throughout the designated Dignity Health facilities and in specialize care facilities; specifically inpatient psychiatric. The Patient Logistics Coordinator assists in implementing the transfer of care plan through effective communication with care providers and administration. Reports to the Patient Logistics Manager.

Core Duties

Works independently to facilitate the placement of patients as directed by the Patient Logistics Manager, Patient Logistics RN, and physician orders
Facilitates the transfer of patients to the appropriate facility and unit
Identifies potential problems and brings them to the attention of the Supervisor, ANS, and/or Leadership to prevent and/or resolve barriers to timely placement and/or transfer of patients throughout the acute care setting
Communicates with referring and receiving facility staffs to ensure timely placement of patients to the appropriate level of care and unit
Documents activities clearly and accurately to promote effective communication with members of the care team, including Transfer Center, Hospital EDs, Hospital Units, Leadership, and receiving facilities.
Uses effective communication skills with colleagues, customers, physicians, and care team members, both internal and external to facilitate the timely placement of patients
Willingly provides and accepts direct, constructive feedback to and from colleagues
Verbalizes knowledge and support of Dignity Health and department Mission and Vision statements.
Exhibits a customer oriented philosophy that emphasizes both internal and external relationships focusing on customer, vendor, and patient expectations and strives to exceed them
Actively participates in, and encourages others to utilize creative and innovative approaches to accomplish duties
Performs duties in a self-directed manner with minimal supervision or direction

#mission critical

*Qualifications*

Minimum Qualifications

MA, LVN, Transfer or Call Center or equivalent experience in a health care setting 2 years
Proven proficiency with all Microsoft Office applications
Excellent verbal and electronic communication stills, including professional telephone and email etiquette
Experience in health care setting with at least 1 year in an acute hospital setting; preferably in bed placement capacity
Must have the ability to coordinate effectively with a variety of customers including providers, hospital and office staff, health plans, medical groups, internal departments, community resources, and peers.
Knowledge of levels of care and basic medical terminology
Ability to work independently and apply critical thinking skills toward making appropriate decisions, as well as in a team environment
Ability to multi-task and prioritize
Detail oriented
Excellent organizational and communication skills and ability to meet timeframes
Ability to learn quickly and retain complex information
Flexible and adaptable to change

Preferred Qualifications

2+ years working in a healthcare setting
Familiarity with Cerner and TeleTracking
","Seniority level
Entry level
Employment type
Full-time
Job function
Management and Manufacturing
Industries
Nonprofit Organization Management, Health, Wellness and Fitness, and Hospital & Health Care",Entry level,Full-time,Management and Manufacturing,"Nonprofit Organization Management, Health, Wellness and Fitness, and Hospital & Health Care",2
5,2021-11-04,Dignity Health,A/R Payment Rep II,"*Overview*

Dignity Health Medical Foundation, established in 1993, is a California nonprofit public benefit corporation with care centers throughout California. Dignity Health Medical Foundation is an affiliate of Dignity Health - one of the largest health systems in the nation - with hospitals and care centers in California, Arizona and Nevada. Today, Dignity Health Medical Foundation works hand-in-hand with physicians and providers throughout California to provide comprehensive health care services to the many communities we serve. As Dignity Health Medical Foundation continues to grow and establish new premier care centers, we provide increasing support and investment in the latest technologies, finest physicians and state-of-the-art medical facilities. We strive to create purposeful work settings where staff can provide great care, while advancing in knowledge and experience through challenging work assignments and stimulating relationships. Our staff is well-trained and highly skilled, qualities that are vital to maintaining excellence in care and service.

*Responsibilities*

Position Summary

Under the direction of the A/R Billing Supervisor the A/R Payment Rep is responsible for the timely and accurate posting of all funds to the correct patient account or the proper ""unidentified account"" consistent with the Mission and Philosophy of Dignity Health Medical Foundation.

*Qualifications*

Minimum Qualifications

1 year experience in a professional medical billing office.
High School Diploma/GED
Knowledge of contract adjustments, deductibles, denial types and other messages on third party documentation, including EOBs/ERAs.
High level of mathematical ability.
10 key experience.
Effective communication and interpersonal skills.
Working knowledge of computers and demonstrated proficiency in using Email systems, Internet and MS office software applications with emphasis in Word and Excel.","Seniority level
Associate
Employment type
Contract
Job function
Accounting/Auditing and Finance
Industries
Nonprofit Organization Management, Health, Wellness and Fitness, and Hospital & Health Care",Associate,Contract,Accounting/Auditing and Finance,"Nonprofit Organization Management, Health, Wellness and Fitness, and Hospital & Health Care",10
6,2021-10-28,Centene Corporation,Case Care Management Assistant - Remote Available,"You could be the one who changes everything for our 25 million members. Centene is transforming the health of our communities, one person at a time. As a diversified, multi-national organization, you’ll have access to competitive benefits including a fresh perspective on workplace flexibility.

Position Purpose

The Case Care Management Assistant provides a variety of administrative functions and customer service for the Case/Care and Utilization Management functions. The Assistant processes service requests, authorizes referrals as appropriate, and ensures all case data is correctly entered in the various systems. The Assistant calls beneficiaries to schedule appointments, contacts providers to gather information, and responds to beneficiary/provider questions and requests. The Assistant collects, compiles and analyzes data and information and distributes reports as directed. The Assistant also provides department administrative support, such as scheduling meetings, distributing/preparing correspondence, faxing documents, transcribing notes and preparing reports.

Receives, logs-in and distributes all case management referrals
Authorizes services or referrals not requiring clinical review
Provides coverage determination and/or eligibility status
Handles phone call- backs for the Care Managers, schedules beneficiary appointments
Assists in maintaining the integrity of the data systems by entering information into department’s data systems
Assists in the entry of Care Manager notes when needed
Assists in the data analysis in month end research of problem authorizations
Contacts provider offices to gather data as needed for reports, problem resolution or to explain benefits
Prepares regular and ad hoc reports and distributes as needed
Acts as liaison between the UM/CM when needed
Provides administrative support to department management and staff, such as distributing mail, correspondence, ordering office supplies, scheduling meetings and faxing documents
Supports department document control function by receiving and distributing cases from other sources, maintaining order in the Utilization Management document control room, and working cooperatively with other departments
Other duties and projects as assigned

Education/Experience

High School Diploma required; College Degree preferred. Three years experience in a medical environment; previous TRICARE, managed care or case/care/utilization management experience desirable

Our Comprehensive Benefits Package

Flexible work solutions including remote options, hybrid work schedules and dress flexibility
Competitive pay
Paid Time Off including paid holidays
Health insurance coverage for you and dependents
401(k) and stock purchase plans
Tuition reimbursement and best-in-class training and development

Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.","Seniority level
Not Applicable
Employment type
Full-time
Job function
Administrative
Industries
Hospital & Health Care and Insurance",Not Applicable,Full-time,Administrative,Hospital & Health Care and Insurance,3
7,2021-11-04,Dignity Health,Recruiting Coordinator Temporary,"*Overview*

This position will allow for some remote/work-from-home opportunity within the Greater Sacramento, CA area, with the ability to travel into the Rancho Cordova office.*

Dignity Health Medical Foundation, established in 1993, is a California nonprofit public benefit corporation with care centers throughout California. Dignity Health Medical Foundation is an affiliate of Dignity Health - one of the largest health systems in the nation - with hospitals and care centers in California, Arizona and Nevada. Today, Dignity Health Medical Foundation works hand-in-hand with physicians and providers throughout California to provide comprehensive health care services to the many communities we serve. As Dignity Health Medical Foundation continues to grow and establish new premier care centers, we provide increasing support and investment in the latest technologies, finest physicians and state-of-the-art medical facilities. We strive to create purposeful work settings where staff can provide great care, while advancing in knowledge and experience through challenging work assignments and stimulating relationships. Our staff is well-trained and highly skilled, qualities that are vital to maintaining excellence in care and service.

*Responsibilities*

Please note, this position is a non-benefitted, temporary position, with the potential to convert to a benefitted, full-time role.

Position Summary

The Recruiting Coordinator is responsible for the logistical details of the employment and/or onboarding process. This position provides a wide range of support activities with the goal of presenting a professional image of the organization.

This position interfaces with recruiters, hiring managers, interviewers and Providers to ensure an efficient and effective flow of information during the recruiting process and/or onboarding process, which includes pre-employment activities through orientation. The scope of activities that will be associated with this position encompasses Providers and staff, and will be varied and encompass several different elements from basic general clerical skills to more complex communications and organizational skills.

*Qualifications*

Minimum Qualifications

High school diploma (or equivalent) required
Requires:
Excellent oral and written communication skills
Computer skills, including keyboarding dexterity
Excellent organizational and follow-through/follow-up skills
Critical thinking skills and ability to multi-task effectively
Excellent customer service orientation for all candidates and internal customers
Valid driver's license and proof of insurance required

Preferred Qualifications

Ability to juggle multiple time-sensitive priorities strongly preferred
Ability to coordinate complex interview logistics strongly preferred
Previous recruitment/talent acquisition coordination experience preferred
Associate degree preferred
Experience with applicant tracking system preferred and/or 2 years experience of intermediate level administrative support.
Demonstrated proficiency in PowerPoint and Visio preferred","Seniority level
Entry level
Employment type
Temporary
Job function
Human Resources
Industries
Nonprofit Organization Management, Health, Wellness and Fitness, and Hospital & Health Care",Entry level,Temporary,Human Resources,"Nonprofit Organization Management, Health, Wellness and Fitness, and Hospital & Health Care",2
8,2021-10-12,Centene Corporation,Senior Communications Specialist,"You could be the one who changes everything for our 25 million members. Centene is transforming the health of our communities, one person at a time. As a diversified, multi-national organization, you’ll have access to competitive benefits including a fresh perspective on workplace flexibility.

Position Purpose

Develop and create company written documents and communications and assist in the maintenance of an overarching marketing & communications practice.

Develop materials that effectively support the communication plan, including brochures, member handbooks, provider directories, newsletters and promotional opportunities.
Design, review and revise all health-related materials distributed to members while ensuring appropriateness of content, readability and translations.
Develop, promote and implement external-facing member initiatives such as outreach events, healthcare education, incentive programs.
Order and track promotional items for all products and all service areas while ensuring budget compliance and reporting financial impact.
Serve as a contact for community agencies, businesses, fundraisers, community events etc.
Design and develop training materials.
Write and coordinate changes for the Health Plan's website and develop, implement and maintain the Plan's social media channels.
Develop and maintain professional contacts and relationships with printers, graphic artists and other vendors.
Coordinate and execute Plan's sponsorship program.

Our Comprehensive Benefits Package

Flexible work solutions including remote options, hybrid work schedules and dress flexibility
Competitive pay
Paid Time Off including paid holidays
Health insurance coverage for you and dependents
401(k) and stock purchase plans
Tuition reimbursement and best-in-class training and development

Education/Experience

Bachelor’s degree in related field or equivalent experience. 2+ years of related experience.

Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.","Seniority level
Not Applicable
Employment type
Full-time
Job function
Marketing, Public Relations, and Writing/Editing
Industries
Hospital & Health Care and Insurance",Not Applicable,Full-time,"Marketing, Public Relations, and Writing/Editing",Hospital & Health Care and Insurance,2
9,2021-11-04,Dignity Health,Lab Courier / Driver,"*Overview*

Dignity Health, one of the nation’s largest health care systems, is a 22-state network of more than 9,000 physicians, 63,000 employees, and 400 care centers, including hospitals, urgent and occupational care, imaging and surgery centers, home health, and primary care clinics. Headquartered in San Francisco, Dignity Health is dedicated to providing compassionate, high-quality, and affordable patient-centered care with special attention to the poor and underserved. In FY17, Dignity Health provided $2.6 billion in charitable care and community services. For more information, please visit our website at [www.dignityhealth.org](http://www.dignityhealth.org/). You can also follow us on Twitter and Facebook.

*Responsibilities*

Under general supervision and medical direction, performs such duties which include, but are not limited to, pick up and delivery of specimens, supplies and reports between all clients. Transportation of other items as instructed by supervisor or designee. Communicate effectively with physicians, office staff, co-workers and community. Recognizes and documents problems related to transportation including mechanical problems and completes preventative maintenance checklist. Plans, organizes and shares work cooperatively according to demand. Responsible for various duties associated with support functions of the Laboratory that are clerical in nature. These tasks encompass but are not limited to such acts as specimen handling, telephone and verbal communication, filing, sorting and distribution. Retrieval of voice mail from dispatch phone required. Ensures specimens, reports and supplies are effectively routed and completed. Occasional use of Hospital/Laboratory system required. Compliance of specimen handling as it relates to Clinical Laboratory Law. (Signature of form required) This position requires the full understanding and active participation in fulfilling the Mission of the Organization. It is expected that the employee will demonstrate behavior consistent with the Core Values.

Demonstrates the ability to safely and competently perform tasks and procedures according to Medical Center

Policy And Procedure. Including, But Not Limited To

Pick up and delivery of specimens, supplies and documents between hospitals, laboratories, clients and physician's

offices

Documentation of mechanical problems with vehicle(s)
Plans, organizes and shares work cooperatively according to demand
Ensures courier car is kept clean, inside and out
Communicate effectively with physicians, physicians' office staff, co-workers and community.
Utilize computer for daily updates and messages
Utilizes voice mail phone messaging for continual updates
Performs additional duties as assigned

Demonstrates the ability to safely and competently use equipment in the provision of department services.

Vehicles
Two-way radio and paging equipment
Centrifuge
Pnuematic tube system

*Qualifications*

Minimum

Basic computer knowledge
Knowledgeable with gmail and google office products.
Valid california drivers license. (driving record mut be free of violations) Requires successful completion of Road Test and Defensive Drivers Training Course
Ability to handle people in diverse situations
HS graduate or equivalent

Preferred

Minimum one (1) year prior Medical courier experience preferred
Previous experience dealing with public is desired","Seniority level
Entry level
Employment type
Full-time
Job function
Management and Manufacturing
Industries
Nonprofit Organization Management, Health, Wellness and Fitness, and Hospital & Health Care",Entry level,Full-time,Management and Manufacturing,"Nonprofit Organization Management, Health, Wellness and Fitness, and Hospital & Health Care",1
