Area Type,Area Name (County Names),Period,Series Code,Industry Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,000001,Total Employment,1764000,1890300,126300,7.2
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,006010,Self Employment,109100,117300,7500,6.9
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,008010,Private Household Workers,1700,1600,-100,-5.9
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,11000000,Total Farm,2000,1900,-100,-5.0
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,0,Total Nonfarm,1651200,1769500,118300,7.2
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,10000000,Mining and Logging,500,400,-100,-20.0
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,20000000,Construction,106300,113000,6700,6.3
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,20236000,Construction of Buildings,22200,24200,2000,9.0
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,20237000,Heavy and Civil Engineering Construction,10200,11000,800,7.8
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,20238000,Specialty Trade Contractors,73900,77800,3900,5.3
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,30000000,Manufacturing,160700,156900,-3800,-2.4
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,31000000,Durable Goods Manufacturing,118500,117100,-1400,-1.2
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,31332000,Fabricated Metal Product Manufacturing,21900,22100,200,0.9
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,31333000,Machinery Manufacturing,9400,8600,-800,-8.5
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,31334000,Computer and Electronic Product Manufacturing,34000,32800,-1200,-3.5
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,31334400,Semiconductor and Other Electronic Component Manufacturing,13400,12100,-1300,-9.7
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,31334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",13500,14000,500,3.7
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,31336000,Transportation Equipment Manufacturing,15600,15800,200,1.3
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,32000000,Nondurable Goods Manufacturing,42200,39800,-2400,-5.7
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,40000000,"Trade, Transportation, and Utilities",261600,270800,9200,3.5
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,41000000,Wholesale Trade,79800,81400,1600,2.0
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,41423000,"Merchant Wholesalers, Durable Goods",48100,48500,400,0.8
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,41424000,"Merchant Wholesalers, Nondurable Goods",25800,27900,2100,8.1
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,41425000,Wholesale Electronic Markets and Agents and Brokers,5900,5000,-900,-15.3
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42000000,Retail Trade,152600,156000,3400,2.2
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42441000,Motor Vehicle and Parts Dealers,19000,20300,1300,6.8
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42444000,Building Material and Garden Equipment and Supplies Dealers,11200,11700,500,4.5
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42445000,Food and Beverage Stores,30100,32000,1900,6.3
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42445100,Grocery Stores,27000,29200,2200,8.1
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42446000,Health and Personal Care Stores,11900,12400,500,4.2
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42448000,Clothing and Clothing Accessories Stores,16900,15200,-1700,-10.1
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5700,4900,-800,-14.0
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42452000,General Merchandise Stores,27500,28200,700,2.5
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,43000000,"Transportation, Warehousing, and Utilities",29200,33400,4200,14.4
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,43220000,Utilities,3000,3200,200,6.7
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,43400089,Transportation and Warehousing,26200,30200,4000,15.3
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,43492000,Couriers and Messengers,5800,7500,1700,29.3
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,43493000,Warehousing and Storage,5700,7000,1300,22.8
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,50000000,Information,26700,29700,3000,11.2
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,50511000,Publishing Industries (except Internet),10500,11400,900,8.6
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,50517000,Telecommunications,7000,6700,-300,-4.3
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55000000,Financial Activities,118700,126100,7400,6.2
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55520000,Finance and Insurance,79300,84300,5000,6.3
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55522000,Credit Intermediation and Related Activities,42000,44800,2800,6.7
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55522100,Depository Credit Intermediation,17400,17500,100,0.6
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55522200,Nondepository Credit Intermediation,17100,18700,1600,9.4
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55524000,Insurance Carriers and Related Activities,25000,25400,400,1.6
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55524100,Insurance Carriers,9100,8600,-500,-5.5
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55524200,"Agencies, Brokerages, and Other Insurance Related Activities",15900,16800,900,5.7
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55530000,Real Estate and Rental and Leasing,39400,41800,2400,6.1
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,55531000,Real Estate,33100,35700,2600,7.9
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60000000,Professional and Business Services,317000,346500,29500,9.3
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60540000,"Professional, Scientific, and Technical Services",129000,144200,15200,11.8
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60541100,Legal Services,16400,16600,200,1.2
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60541200,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",14900,15800,900,6.0
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60541300,"Architectural, Engineering, and Related Services",25400,27200,1800,7.1
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60541500,Computer Systems Design and Related Services,22400,25600,3200,14.3
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60541600,"Management, Scientific, and Technical Consulting Services",26100,31100,5000,19.2
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60550000,Management of Companies and Enterprises,36700,38700,2000,5.4
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60560000,Administrative and Support and Waste Management and Remediation Services,151300,163600,12300,8.1
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60561000,Administrative and Support Services,146400,158300,11900,8.1
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60561300,Employment Services,73200,80200,7000,9.6
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60561600,Investigation and Security Services,10200,11300,1100,10.8
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60561700,Services to Buildings and Dwellings,35100,38100,3000,8.5
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,60562000,Waste Management and Remediation Services,4900,5300,400,8.2
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",224700,263600,38900,17.3
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65610000,Educational Services (Private),29300,33900,4600,15.7
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65611300,"Colleges, Universities, and Professional Schools",6500,7600,1100,16.9
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65620000,Health Care and Social Assistance,195400,229700,34300,17.6
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65621000,Ambulatory Health Care Services,87000,105400,18400,21.1
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65622000,Hospitals (Private),32900,37000,4100,12.5
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65623000,Nursing and Residential Care Facilities,27300,30700,3400,12.5
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,65624000,Social Assistance,48200,56600,8400,17.4
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,70000000,Leisure and Hospitality,222600,242200,19600,8.8
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,70710000,"Arts, Entertainment, and Recreation",51000,56500,5500,10.8
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,70713000,"Amusement, Gambling, and Recreation Industries",43700,48700,5000,11.4
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,70720000,Accommodation and Food Services,171700,185700,14000,8.2
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,70721000,Accommodation,25800,26100,300,1.2
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,70722000,Food Services and Drinking Places,145900,159600,13700,9.4
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,70722500,Restaurants and Other Eating Places,138500,151300,12800,9.2
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),51400,53700,2300,4.5
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90000000,Government,161200,166600,5400,3.3
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90910000,Federal Government,11100,11200,100,0.9
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90940000,State and Local Government,150200,155400,5200,3.5
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90920000,State Government,32000,33900,1900,5.9
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90921611,State Government Education,21400,23200,1800,8.4
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90922000,State Government Excluding Education,10600,10700,100,0.9
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90930000,Local Government,118200,121500,3300,2.8
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90931611,Local Government Education,76400,78400,2000,2.6
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,90932000,Local Government Excluding Education,41800,43100,1300,3.1
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,000001,Total Employment,349300,382200,32900,9.4
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,006010,Self Employment,19500,20700,1200,6.2
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,008010,Private Household Workers,100,300,200,200.0
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,11000000,Total Farm,62400,66700,4300,6.9
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,0,Total Nonfarm,267300,294500,27200,10.2
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,10000000,Mining and Logging,9300,9200,-100,-1.1
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,20000000,Construction,15900,18600,2700,17.0
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,30000000,Manufacturing,13200,13900,700,5.3
